c Emme Modeller - Matrix Transaction
c Date: 2016-01-24 12:16:36
c Project:        TL_RTM_Release_2015_01.00 [2011 Base Case]                  
t matrices
a matrix=mo54   s-0--   0.0 Segment W0                              
   gu05    all   3228.95
   gu06    all  6129.234
   gu07    all  4857.204
   gu08    all   1440.38
   gu09    all  11434.05
   gu10    all  1371.769
   gu11    all  2512.703
   gu12    all    4147.2
   gu13    all  1617.194
   gu14    all  5489.881
   gu16    all  710.4036
   gu21    all  280.3186
   gu22    all  96.69635
   gu23    all  430.9986
   gu24    all  1846.064
   gu25    all  5206.645
a matrix=mo389  WrkInL   0.0 Number of Workers - Low Income Segment  
   gu01    all  4181.519
   gu02    all  11957.58
   gu05    all  28955.89
   gu06    all  22923.98
   gu07    all  23153.42
   gu08    all  3250.911
   gu09    all  42161.29
   gu10    all  3861.002
   gu11    all  9762.717
   gu12    all  8019.562
   gu13    all  4856.825
   gu14    all  23550.27
   gu16    all  8777.522
   gu21    all  14971.97
   gu22    all  7386.669
   gu23    all  4712.782
   gu24    all   13362.8
   gu25    all  47602.87
a matrix=mo390  WrkInM   0.0 Number of Workers - Med Income Segment  
   gu01    all  4436.674
   gu02    all  20212.88
   gu05    all  40504.21
   gu06    all  42819.26
   gu07    all  34052.73
   gu08    all    8629.2
   gu09    all  89071.13
   gu10    all  16259.45
   gu11    all  17856.89
   gu12    all  28094.73
   gu13    all  9557.113
   gu14    all  45415.98
   gu16    all  13852.54
   gu21    all  17370.99
   gu22    all  4128.293
   gu23    all  6216.457
   gu24    all  16961.21
   gu25    all  61395.82
a matrix=mo391  WrkInH   0.0 Number of Workers - High Income Segment 
   gu01    all  15674.45
   gu02    all  43605.79
   gu05    all   45988.1
   gu06    all  56782.86
   gu07    all  41968.51
   gu08    all  13280.46
   gu09    all  102603.2
   gu10    all  22967.21
   gu11    all  23703.97
   gu12    all   35208.2
   gu13    all  13444.93
   gu14    all  45525.66
   gu16    all  15773.15
   gu21    all  23110.73
   gu22    all  2356.684
   gu23    all  11345.58
   gu24    all  36244.61
   gu25    all  77027.19
a matrix=mo392    TrAc   0.0 Transit Accessibility                   
   gu01    all  12.55123
   gu02    all  39.74415
   gu05    all  172.2509
   gu06    all  75.30622
   gu07    all  79.77053
   gu08    all  10.85941
   gu09    all  159.3507
   gu10    all  17.60219
   gu11    all  13.10142
   gu12    all  36.22404
   gu13    all  11.01331
   gu14    all  24.03735
   gu16    all  55.80387
   gu21    all  246.3116
   gu22    all  37.94817
   gu23    all  24.40089
   gu24    all  77.66497
   gu25    all  274.4553
a matrix=mo393  250C11   0.0 2011_250m_car_share                     
   gu02    all        11
   gu05    all        24
   gu06    all         3
   gu09    all         2
   gu16    all         8
   gu21    all        60
   gu22    all         7
   gu23    all        14
   gu24    all        22
   gu25    all        56
a matrix=mo394  500C11   0.0 2011_500m_car_share                     
   gu02    all        18
   gu05    all        35
   gu06    all         4
   gu09    all         6
   gu16    all        12
   gu21    all        92
   gu22    all        16
   gu23    all        21
   gu24    all        46
   gu25    all       102
a matrix=mo395    Scr1   0.0 Scratch - Carshare 250 - LowDen         
   gu02    all         5
   gu05    all        10
   gu06    all         2
   gu09    all         1
   gu16    all         4
   gu21    all         7
   gu23    all         2
   gu24    all        11
   gu25    all        11
a matrix=mo396    Scr2   0.0 Scratch - Carshare 250 - HighDen        
   gu02    all         4
   gu05    all        12
   gu06    all         1
   gu09    all         1
   gu16    all         4
   gu21    all        23
   gu22    all         6
   gu23    all         5
   gu24    all         5
   gu25    all        27
a matrix=mo397    Scr3   0.0 Scratch - Carshare 500                  
   gu02    all         5
   gu05    all         5
   gu21    all        31
   gu22    all         6
   gu23    all         7
   gu24    all        16
   gu25    all        33
a matrix=mo404   u1010   0.0 AuUtil H1W0LA0                          
   gu01    all  34.91331
   gu02    all  79.71826
   gu04    all  1.965072
   gu05    all  199.8721
   gu06    all  134.9983
   gu07    all   105.923
   gu08    all  40.31879
   gu09    all  206.2846
   gu10    all  47.87526
   gu11    all  45.03939
   gu12    all  104.9345
   gu13    all  40.00411
   gu14    all  82.91381
   gu15    all  34.84663
   gu16    all  57.08805
   gu21    all  163.8845
   gu22    all   32.8832
   gu23    all  29.29909
   gu24    all   92.3996
   gu25    all  238.1905
a matrix=mo405   u1110   0.0 AuUtil H1W1LA0                          
   gu01    all  29.53417
   gu02    all  68.95999
   gu04    all  1.648652
   gu05    all  181.8362
   gu06    all  113.7982
   gu07    all  90.10205
   gu08    all   33.9904
   gu09    all  175.2755
   gu10    all   40.5976
   gu11    all  37.44532
   gu12    all  87.84788
   gu13    all  33.04288
   gu14    all  69.30777
   gu15    all  28.51824
   gu16    all  52.34176
   gu21    all  154.0755
   gu22    all  30.66826
   gu23    all  27.08415
   gu24    all  83.85627
   gu25    all  217.6232
a matrix=mo406   u2010   0.0 AuUtil H2W0LA0                          
   gu01    all  34.91331
   gu02    all  79.71826
   gu04    all  1.965072
   gu05    all  199.8721
   gu06    all  134.9983
   gu07    all   105.923
   gu08    all  40.31879
   gu09    all  206.2846
   gu10    all  47.87526
   gu11    all  45.03939
   gu12    all  104.9345
   gu13    all  40.00411
   gu14    all  82.91381
   gu15    all  34.84663
   gu16    all  57.08805
   gu21    all  163.8845
   gu22    all   32.8832
   gu23    all  29.29909
   gu24    all   92.3996
   gu25    all  238.1905
a matrix=mo407   u2110   0.0 AuUtil H2W1LA0                          
   gu01    all  29.53417
   gu02    all  68.95999
   gu04    all  1.648652
   gu05    all  181.8362
   gu06    all  113.7982
   gu07    all  90.10205
   gu08    all   33.9904
   gu09    all  175.2755
   gu10    all   40.5976
   gu11    all  37.44532
   gu12    all  87.84788
   gu13    all  33.04288
   gu14    all  69.30777
   gu15    all  28.51824
   gu16    all  52.34176
   gu21    all  154.0755
   gu22    all  30.66826
   gu23    all  27.08415
   gu24    all  83.85627
   gu25    all  217.6232
a matrix=mo408   u2210   0.0 AuUtil H2W2LA0                          
   gu01    all  29.53417
   gu02    all  68.95999
   gu04    all  1.648652
   gu05    all  181.8362
   gu06    all  113.7982
   gu07    all  90.10205
   gu08    all   33.9904
   gu09    all  175.2755
   gu10    all   40.5976
   gu11    all  37.44532
   gu12    all  87.84788
   gu13    all  33.04288
   gu14    all  69.30777
   gu15    all  28.51824
   gu16    all  52.34176
   gu21    all  154.0755
   gu22    all  30.66826
   gu23    all  27.08415
   gu24    all  83.85627
   gu25    all  217.6232
a matrix=mo409   u3010   0.0 AuUtil H3W0LA0                          
   gu01    all  34.91331
   gu02    all  79.71826
   gu04    all  1.965072
   gu05    all  199.8721
   gu06    all  134.9983
   gu07    all   105.923
   gu08    all  40.31879
   gu09    all  206.2846
   gu10    all  47.87526
   gu11    all  45.03939
   gu12    all  104.9345
   gu13    all  40.00411
   gu14    all  82.91381
   gu15    all  34.84663
   gu16    all  57.08805
   gu21    all  163.8845
   gu22    all   32.8832
   gu23    all  29.29909
   gu24    all   92.3996
   gu25    all  238.1905
a matrix=mo410   u3110   0.0 AuUtil H3W1LA0                          
   gu01    all  29.53417
   gu02    all  68.95999
   gu04    all  1.648652
   gu05    all  181.8362
   gu06    all  113.7982
   gu07    all  90.10205
   gu08    all   33.9904
   gu09    all  175.2755
   gu10    all   40.5976
   gu11    all  37.44532
   gu12    all  87.84788
   gu13    all  33.04288
   gu14    all  69.30777
   gu15    all  28.51824
   gu16    all  52.34176
   gu21    all  154.0755
   gu22    all  30.66826
   gu23    all  27.08415
   gu24    all  83.85627
   gu25    all  217.6232
a matrix=mo411   u3210   0.0 AuUtil H3W2LA0                          
   gu01    all  29.53417
   gu02    all  68.95999
   gu04    all  1.648652
   gu05    all  181.8362
   gu06    all  113.7982
   gu07    all  90.10205
   gu08    all   33.9904
   gu09    all  175.2755
   gu10    all   40.5976
   gu11    all  37.44532
   gu12    all  87.84788
   gu13    all  33.04288
   gu14    all  69.30777
   gu15    all  28.51824
   gu16    all  52.34176
   gu21    all  154.0755
   gu22    all  30.66826
   gu23    all  27.08415
   gu24    all  83.85627
   gu25    all  217.6232
a matrix=mo412   u3310   0.0 AuUtil H3W3LA0                          
   gu01    all  29.53417
   gu02    all  68.95999
   gu04    all  1.648652
   gu05    all  181.8362
   gu06    all  113.7982
   gu07    all  90.10205
   gu08    all   33.9904
   gu09    all  175.2755
   gu10    all   40.5976
   gu11    all  37.44532
   gu12    all  87.84788
   gu13    all  33.04288
   gu14    all  69.30777
   gu15    all  28.51824
   gu16    all  52.34176
   gu21    all  154.0755
   gu22    all  30.66826
   gu23    all  27.08415
   gu24    all  83.85627
   gu25    all  217.6232
a matrix=mo413   u4010   0.0 AuUtil H4+W0LA0                         
   gu01    all  34.91331
   gu02    all  79.71826
   gu04    all  1.965072
   gu05    all  199.8721
   gu06    all  134.9983
   gu07    all   105.923
   gu08    all  40.31879
   gu09    all  206.2846
   gu10    all  47.87526
   gu11    all  45.03939
   gu12    all  104.9345
   gu13    all  40.00411
   gu14    all  82.91381
   gu15    all  34.84663
   gu16    all  57.08805
   gu21    all  163.8845
   gu22    all   32.8832
   gu23    all  29.29909
   gu24    all   92.3996
   gu25    all  238.1905
a matrix=mo414   u4110   0.0 AuUtil H4+W1LA0                         
   gu01    all  29.53417
   gu02    all  68.95999
   gu04    all  1.648652
   gu05    all  181.8362
   gu06    all  113.7982
   gu07    all  90.10205
   gu08    all   33.9904
   gu09    all  175.2755
   gu10    all   40.5976
   gu11    all  37.44532
   gu12    all  87.84788
   gu13    all  33.04288
   gu14    all  69.30777
   gu15    all  28.51824
   gu16    all  52.34176
   gu21    all  154.0755
   gu22    all  30.66826
   gu23    all  27.08415
   gu24    all  83.85627
   gu25    all  217.6232
a matrix=mo415   u4210   0.0 AuUtil H4+W2LA0                         
   gu01    all  29.53417
   gu02    all  68.95999
   gu04    all  1.648652
   gu05    all  181.8362
   gu06    all  113.7982
   gu07    all  90.10205
   gu08    all   33.9904
   gu09    all  175.2755
   gu10    all   40.5976
   gu11    all  37.44532
   gu12    all  87.84788
   gu13    all  33.04288
   gu14    all  69.30777
   gu15    all  28.51824
   gu16    all  52.34176
   gu21    all  154.0755
   gu22    all  30.66826
   gu23    all  27.08415
   gu24    all  83.85627
   gu25    all  217.6232
a matrix=mo416   u4310   0.0 AuUtil H4+W3+LA0                        
   gu01    all  29.53417
   gu02    all  68.95999
   gu04    all  1.648652
   gu05    all  181.8362
   gu06    all  113.7982
   gu07    all  90.10205
   gu08    all   33.9904
   gu09    all  175.2755
   gu10    all   40.5976
   gu11    all  37.44532
   gu12    all  87.84788
   gu13    all  33.04288
   gu14    all  69.30777
   gu15    all  28.51824
   gu16    all  52.34176
   gu21    all  154.0755
   gu22    all  30.66826
   gu23    all  27.08415
   gu24    all  83.85627
   gu25    all  217.6232
a matrix=mo417   u1020   0.0 AuUtil H1W0MA0                          
   gu01    all  11.31598
   gu02    all  32.52361
   gu04    all  .5769935
   gu05    all  120.7517
   gu06    all  41.99706
   gu07    all  36.51914
   gu08    all  12.55723
   gu09    all    70.253
   gu10    all  15.94946
   gu11    all  11.72552
   gu12    all  29.97833
   gu13    all  9.466394
   gu14    all  23.22646
   gu15    all  7.085073
   gu16    all  36.26689
   gu21    all  109.9518
   gu22    all   22.1116
   gu23    all  19.58255
   gu24    all   54.9215
   gu25    all  147.9654
a matrix=mo418   u1120   0.0 AuUtil H1W1MA0                          
   gu01    all  5.936849
   gu02    all  21.76534
   gu04    all  .2605738
   gu05    all  102.7158
   gu06    all  20.79694
   gu07    all  20.69815
   gu08    all  6.228839
   gu09    all  39.24387
   gu10    all  8.671811
   gu11    all  4.131444
   gu12    all  12.89167
   gu13    all   2.50516
   gu14    all  9.620412
   gu15    all  .7566781
   gu16    all  31.52059
   gu21    all  100.1428
   gu22    all  19.89666
   gu23    all  17.36761
   gu24    all  46.37817
   gu25    all  127.3981
a matrix=mo419   u2020   0.0 AuUtil H2W0MA0                          
   gu01    all  11.31598
   gu02    all  32.52361
   gu04    all  .5769935
   gu05    all  120.7517
   gu06    all  41.99706
   gu07    all  36.51914
   gu08    all  12.55723
   gu09    all    70.253
   gu10    all  15.94946
   gu11    all  11.72552
   gu12    all  29.97833
   gu13    all  9.466394
   gu14    all  23.22646
   gu15    all  7.085073
   gu16    all  36.26689
   gu21    all  109.9518
   gu22    all   22.1116
   gu23    all  19.58255
   gu24    all   54.9215
   gu25    all  147.9654
a matrix=mo420   u2120   0.0 AuUtil H2W1MA0                          
   gu01    all  5.936849
   gu02    all  21.76534
   gu04    all  .2605738
   gu05    all  102.7158
   gu06    all  20.79694
   gu07    all  20.69815
   gu08    all  6.228839
   gu09    all  39.24387
   gu10    all  8.671811
   gu11    all  4.131444
   gu12    all  12.89167
   gu13    all   2.50516
   gu14    all  9.620412
   gu15    all  .7566781
   gu16    all  31.52059
   gu21    all  100.1428
   gu22    all  19.89666
   gu23    all  17.36761
   gu24    all  46.37817
   gu25    all  127.3981
a matrix=mo421   u2220   0.0 AuUtil H2W2MA0                          
   gu01    all  5.936849
   gu02    all  21.76534
   gu04    all  .2605738
   gu05    all  102.7158
   gu06    all  20.79694
   gu07    all  20.69815
   gu08    all  6.228839
   gu09    all  39.24387
   gu10    all  8.671811
   gu11    all  4.131444
   gu12    all  12.89167
   gu13    all   2.50516
   gu14    all  9.620412
   gu15    all  .7566781
   gu16    all  31.52059
   gu21    all  100.1428
   gu22    all  19.89666
   gu23    all  17.36761
   gu24    all  46.37817
   gu25    all  127.3981
a matrix=mo422   u3020   0.0 AuUtil H3W0MA0                          
   gu01    all  11.31598
   gu02    all  32.52361
   gu04    all  .5769935
   gu05    all  120.7517
   gu06    all  41.99706
   gu07    all  36.51914
   gu08    all  12.55723
   gu09    all    70.253
   gu10    all  15.94946
   gu11    all  11.72552
   gu12    all  29.97833
   gu13    all  9.466394
   gu14    all  23.22646
   gu15    all  7.085073
   gu16    all  36.26689
   gu21    all  109.9518
   gu22    all   22.1116
   gu23    all  19.58255
   gu24    all   54.9215
   gu25    all  147.9654
a matrix=mo423   u3120   0.0 AuUtil H3W1MA0                          
   gu01    all  5.936849
   gu02    all  21.76534
   gu04    all  .2605738
   gu05    all  102.7158
   gu06    all  20.79694
   gu07    all  20.69815
   gu08    all  6.228839
   gu09    all  39.24387
   gu10    all  8.671811
   gu11    all  4.131444
   gu12    all  12.89167
   gu13    all   2.50516
   gu14    all  9.620412
   gu15    all  .7566781
   gu16    all  31.52059
   gu21    all  100.1428
   gu22    all  19.89666
   gu23    all  17.36761
   gu24    all  46.37817
   gu25    all  127.3981
a matrix=mo424   u3220   0.0 AuUtil H3W2MA0                          
   gu01    all  5.936849
   gu02    all  21.76534
   gu04    all  .2605738
   gu05    all  102.7158
   gu06    all  20.79694
   gu07    all  20.69815
   gu08    all  6.228839
   gu09    all  39.24387
   gu10    all  8.671811
   gu11    all  4.131444
   gu12    all  12.89167
   gu13    all   2.50516
   gu14    all  9.620412
   gu15    all  .7566781
   gu16    all  31.52059
   gu21    all  100.1428
   gu22    all  19.89666
   gu23    all  17.36761
   gu24    all  46.37817
   gu25    all  127.3981
a matrix=mo425   u3320   0.0 AuUtil H3W3MA0                          
   gu01    all  5.936849
   gu02    all  21.76534
   gu04    all  .2605738
   gu05    all  102.7158
   gu06    all  20.79694
   gu07    all  20.69815
   gu08    all  6.228839
   gu09    all  39.24387
   gu10    all  8.671811
   gu11    all  4.131444
   gu12    all  12.89167
   gu13    all   2.50516
   gu14    all  9.620412
   gu15    all  .7566781
   gu16    all  31.52059
   gu21    all  100.1428
   gu22    all  19.89666
   gu23    all  17.36761
   gu24    all  46.37817
   gu25    all  127.3981
a matrix=mo426   u4020   0.0 AuUtil H4+W0MA0                         
   gu01    all  11.31598
   gu02    all  32.52361
   gu04    all  .5769935
   gu05    all  120.7517
   gu06    all  41.99706
   gu07    all  36.51914
   gu08    all  12.55723
   gu09    all    70.253
   gu10    all  15.94946
   gu11    all  11.72552
   gu12    all  29.97833
   gu13    all  9.466394
   gu14    all  23.22646
   gu15    all  7.085073
   gu16    all  36.26689
   gu21    all  109.9518
   gu22    all   22.1116
   gu23    all  19.58255
   gu24    all   54.9215
   gu25    all  147.9654
a matrix=mo427   u4120   0.0 AuUtil H4+W1MA0                         
   gu01    all  5.936849
   gu02    all  21.76534
   gu04    all  .2605738
   gu05    all  102.7158
   gu06    all  20.79694
   gu07    all  20.69815
   gu08    all  6.228839
   gu09    all  39.24387
   gu10    all  8.671811
   gu11    all  4.131444
   gu12    all  12.89167
   gu13    all   2.50516
   gu14    all  9.620412
   gu15    all  .7566781
   gu16    all  31.52059
   gu21    all  100.1428
   gu22    all  19.89666
   gu23    all  17.36761
   gu24    all  46.37817
   gu25    all  127.3981
a matrix=mo428   u4220   0.0 AuUtil H4+W2MA0                         
   gu01    all  5.936849
   gu02    all  21.76534
   gu04    all  .2605738
   gu05    all  102.7158
   gu06    all  20.79694
   gu07    all  20.69815
   gu08    all  6.228839
   gu09    all  39.24387
   gu10    all  8.671811
   gu11    all  4.131444
   gu12    all  12.89167
   gu13    all   2.50516
   gu14    all  9.620412
   gu15    all  .7566781
   gu16    all  31.52059
   gu21    all  100.1428
   gu22    all  19.89666
   gu23    all  17.36761
   gu24    all  46.37817
   gu25    all  127.3981
a matrix=mo429   u4320   0.0 AuUtil H4+W3+MA0                        
   gu01    all  5.936849
   gu02    all  21.76534
   gu04    all  .2605738
   gu05    all  102.7158
   gu06    all  20.79694
   gu07    all  20.69815
   gu08    all  6.228839
   gu09    all  39.24387
   gu10    all  8.671811
   gu11    all  4.131444
   gu12    all  12.89167
   gu13    all   2.50516
   gu14    all  9.620412
   gu15    all  .7566781
   gu16    all  31.52059
   gu21    all  100.1428
   gu22    all  19.89666
   gu23    all  17.36761
   gu24    all  46.37817
   gu25    all  127.3981
a matrix=mo430   u1030   0.0 AuUtil H1W0HA0                          
   gu01    all -17.22845
   gu02    all -24.56525
   gu04    all  -1.10209
   gu05    all  25.04391
   gu06    all -70.50157
   gu07    all -47.43506
   gu08    all -21.02445
   gu09    all -94.29724
   gu10    all -22.66947
   gu11    all  -28.5725
   gu12    all -60.69221
   gu13    all -27.47346
   gu14    all -48.97415
   gu15    all -26.49661
   gu16    all  11.08063
   gu21    all  39.03194
   gu22    all  8.532049
   gu23    all  7.828957
   gu24    all  9.586228
   gu25    all  38.82492
a matrix=mo431   u1130   0.0 AuUtil H1W1HA0                          
   gu01    all -22.60758
   gu02    all -35.32352
   gu04    all  -1.41851
   gu05    all  7.007984
   gu06    all -91.70169
   gu07    all -63.25605
   gu08    all -27.35284
   gu09    all -125.3064
   gu10    all -29.94712
   gu11    all -36.16657
   gu12    all -77.77887
   gu13    all -34.43469
   gu14    all  -62.5802
   gu15    all   -32.825
   gu16    all   6.33433
   gu21    all  29.22293
   gu22    all  6.317111
   gu23    all  5.614019
   gu24    all  1.042896
   gu25    all  18.25764
a matrix=mo432   u2030   0.0 AuUtil H2W0HA0                          
   gu01    all -17.22845
   gu02    all -24.56525
   gu04    all  -1.10209
   gu05    all  25.04391
   gu06    all -70.50157
   gu07    all -47.43506
   gu08    all -21.02445
   gu09    all -94.29724
   gu10    all -22.66947
   gu11    all  -28.5725
   gu12    all -60.69221
   gu13    all -27.47346
   gu14    all -48.97415
   gu15    all -26.49661
   gu16    all  11.08063
   gu21    all  39.03194
   gu22    all  8.532049
   gu23    all  7.828957
   gu24    all  9.586228
   gu25    all  38.82492
a matrix=mo433   u2130   0.0 AuUtil H2W1HA0                          
   gu01    all -22.60758
   gu02    all -35.32352
   gu04    all  -1.41851
   gu05    all  7.007984
   gu06    all -91.70169
   gu07    all -63.25605
   gu08    all -27.35284
   gu09    all -125.3064
   gu10    all -29.94712
   gu11    all -36.16657
   gu12    all -77.77887
   gu13    all -34.43469
   gu14    all  -62.5802
   gu15    all   -32.825
   gu16    all   6.33433
   gu21    all  29.22293
   gu22    all  6.317111
   gu23    all  5.614019
   gu24    all  1.042896
   gu25    all  18.25764
a matrix=mo434   u2230   0.0 AuUtil H2W2HA0                          
   gu01    all -22.60758
   gu02    all -35.32352
   gu04    all  -1.41851
   gu05    all  7.007984
   gu06    all -91.70169
   gu07    all -63.25605
   gu08    all -27.35284
   gu09    all -125.3064
   gu10    all -29.94712
   gu11    all -36.16657
   gu12    all -77.77887
   gu13    all -34.43469
   gu14    all  -62.5802
   gu15    all   -32.825
   gu16    all   6.33433
   gu21    all  29.22293
   gu22    all  6.317111
   gu23    all  5.614019
   gu24    all  1.042896
   gu25    all  18.25764
a matrix=mo435   u3030   0.0 AuUtil H3W0HA0                          
   gu01    all -17.22845
   gu02    all -24.56525
   gu04    all  -1.10209
   gu05    all  25.04391
   gu06    all -70.50157
   gu07    all -47.43506
   gu08    all -21.02445
   gu09    all -94.29724
   gu10    all -22.66947
   gu11    all  -28.5725
   gu12    all -60.69221
   gu13    all -27.47346
   gu14    all -48.97415
   gu15    all -26.49661
   gu16    all  11.08063
   gu21    all  39.03194
   gu22    all  8.532049
   gu23    all  7.828957
   gu24    all  9.586228
   gu25    all  38.82492
a matrix=mo436   u3130   0.0 AuUtil H3W1HA0                          
   gu01    all -22.60758
   gu02    all -35.32352
   gu04    all  -1.41851
   gu05    all  7.007984
   gu06    all -91.70169
   gu07    all -63.25605
   gu08    all -27.35284
   gu09    all -125.3064
   gu10    all -29.94712
   gu11    all -36.16657
   gu12    all -77.77887
   gu13    all -34.43469
   gu14    all  -62.5802
   gu15    all   -32.825
   gu16    all   6.33433
   gu21    all  29.22293
   gu22    all  6.317111
   gu23    all  5.614019
   gu24    all  1.042896
   gu25    all  18.25764
a matrix=mo437   u3230   0.0 AuUtil H3W2HA0                          
   gu01    all -22.60758
   gu02    all -35.32352
   gu04    all  -1.41851
   gu05    all  7.007984
   gu06    all -91.70169
   gu07    all -63.25605
   gu08    all -27.35284
   gu09    all -125.3064
   gu10    all -29.94712
   gu11    all -36.16657
   gu12    all -77.77887
   gu13    all -34.43469
   gu14    all  -62.5802
   gu15    all   -32.825
   gu16    all   6.33433
   gu21    all  29.22293
   gu22    all  6.317111
   gu23    all  5.614019
   gu24    all  1.042896
   gu25    all  18.25764
a matrix=mo438   u3330   0.0 AuUtil H3W3HA0                          
   gu01    all -22.60758
   gu02    all -35.32352
   gu04    all  -1.41851
   gu05    all  7.007984
   gu06    all -91.70169
   gu07    all -63.25605
   gu08    all -27.35284
   gu09    all -125.3064
   gu10    all -29.94712
   gu11    all -36.16657
   gu12    all -77.77887
   gu13    all -34.43469
   gu14    all  -62.5802
   gu15    all   -32.825
   gu16    all   6.33433
   gu21    all  29.22293
   gu22    all  6.317111
   gu23    all  5.614019
   gu24    all  1.042896
   gu25    all  18.25764
a matrix=mo439   u4030   0.0 AuUtil H4+W0HA0                         
   gu01    all -17.22845
   gu02    all -24.56525
   gu04    all  -1.10209
   gu05    all  25.04391
   gu06    all -70.50157
   gu07    all -47.43506
   gu08    all -21.02445
   gu09    all -94.29724
   gu10    all -22.66947
   gu11    all  -28.5725
   gu12    all -60.69221
   gu13    all -27.47346
   gu14    all -48.97415
   gu15    all -26.49661
   gu16    all  11.08063
   gu21    all  39.03194
   gu22    all  8.532049
   gu23    all  7.828957
   gu24    all  9.586228
   gu25    all  38.82492
a matrix=mo440   u4130   0.0 AuUtil H4+W1HA0                         
   gu01    all -22.60758
   gu02    all -35.32352
   gu04    all  -1.41851
   gu05    all  7.007984
   gu06    all -91.70169
   gu07    all -63.25605
   gu08    all -27.35284
   gu09    all -125.3064
   gu10    all -29.94712
   gu11    all -36.16657
   gu12    all -77.77887
   gu13    all -34.43469
   gu14    all  -62.5802
   gu15    all   -32.825
   gu16    all   6.33433
   gu21    all  29.22293
   gu22    all  6.317111
   gu23    all  5.614019
   gu24    all  1.042896
   gu25    all  18.25764
a matrix=mo441   u4230   0.0 AuUtil H4+W2HA0                         
   gu01    all -22.60758
   gu02    all -35.32352
   gu04    all  -1.41851
   gu05    all  7.007984
   gu06    all -91.70169
   gu07    all -63.25605
   gu08    all -27.35284
   gu09    all -125.3064
   gu10    all -29.94712
   gu11    all -36.16657
   gu12    all -77.77887
   gu13    all -34.43469
   gu14    all  -62.5802
   gu15    all   -32.825
   gu16    all   6.33433
   gu21    all  29.22293
   gu22    all  6.317111
   gu23    all  5.614019
   gu24    all  1.042896
   gu25    all  18.25764
a matrix=mo442   u4330   0.0 AuUtil H4+W3+HA0                        
   gu01    all -22.60758
   gu02    all -35.32352
   gu04    all  -1.41851
   gu05    all  7.007984
   gu06    all -91.70169
   gu07    all -63.25605
   gu08    all -27.35284
   gu09    all -125.3064
   gu10    all -29.94712
   gu11    all -36.16657
   gu12    all -77.77887
   gu13    all -34.43469
   gu14    all  -62.5802
   gu15    all   -32.825
   gu16    all   6.33433
   gu21    all  29.22293
   gu22    all  6.317111
   gu23    all  5.614019
   gu24    all  1.042896
   gu25    all  18.25764
a matrix=mo443   u1011   0.0 AuUtil H1W0LA1                          
   gu01    all  57.05257
   gu02    all  115.3581
   gu04    all  3.146745
   gu05    all  236.6135
   gu06    all  221.3157
   gu07    all  167.4275
   gu08    all  66.72545
   gu09    all  328.5833
   gu10    all  77.43178
   gu11    all  77.88578
   gu12    all  177.6407
   gu13    all  70.74491
   gu14    all  140.7455
   gu15    all  63.45328
   gu16    all  64.46619
   gu21    all  135.1952
   gu22    all  29.20731
   gu23    all  27.01628
   gu24    all  100.5294
   gu25    all  248.6418
a matrix=mo444   u1111   0.0 AuUtil H1W1LA1                          
   gu01    all  57.05257
   gu02    all  115.3581
   gu04    all  3.146745
   gu05    all  236.6135
   gu06    all  221.3157
   gu07    all  167.4275
   gu08    all  66.72545
   gu09    all  328.5833
   gu10    all  77.43178
   gu11    all  77.88578
   gu12    all  177.6407
   gu13    all  70.74491
   gu14    all  140.7455
   gu15    all  63.45328
   gu16    all  64.46619
   gu21    all  135.1952
   gu22    all  29.20731
   gu23    all  27.01628
   gu24    all  100.5294
   gu25    all  248.6418
a matrix=mo445   u2011   0.0 AuUtil H2W0LA1                          
   gu01    all  57.05257
   gu02    all  115.3581
   gu04    all  3.146745
   gu05    all  236.6135
   gu06    all  221.3157
   gu07    all  167.4275
   gu08    all  66.72545
   gu09    all  328.5833
   gu10    all  77.43178
   gu11    all  77.88578
   gu12    all  177.6407
   gu13    all  70.74491
   gu14    all  140.7455
   gu15    all  63.45328
   gu16    all  64.46619
   gu21    all  135.1952
   gu22    all  29.20731
   gu23    all  27.01628
   gu24    all  100.5294
   gu25    all  248.6418
a matrix=mo446   u2111   0.0 AuUtil H2W1LA1                          
   gu01    all  57.05257
   gu02    all  115.3581
   gu04    all  3.146745
   gu05    all  236.6135
   gu06    all  221.3157
   gu07    all  167.4275
   gu08    all  66.72545
   gu09    all  328.5833
   gu10    all  77.43178
   gu11    all  77.88578
   gu12    all  177.6407
   gu13    all  70.74491
   gu14    all  140.7455
   gu15    all  63.45328
   gu16    all  64.46619
   gu21    all  135.1952
   gu22    all  29.20731
   gu23    all  27.01628
   gu24    all  100.5294
   gu25    all  248.6418
a matrix=mo447   u2211   0.0 AuUtil H2W2LA1                          
   gu01    all  57.05257
   gu02    all  115.3581
   gu04    all  3.146745
   gu05    all  236.6135
   gu06    all  221.3157
   gu07    all  167.4275
   gu08    all  66.72545
   gu09    all  328.5833
   gu10    all  77.43178
   gu11    all  77.88578
   gu12    all  177.6407
   gu13    all  70.74491
   gu14    all  140.7455
   gu15    all  63.45328
   gu16    all  64.46619
   gu21    all  135.1952
   gu22    all  29.20731
   gu23    all  27.01628
   gu24    all  100.5294
   gu25    all  248.6418
a matrix=mo448   u3011   0.0 AuUtil H3W0LA1                          
   gu01    all   73.8849
   gu02    all  149.0228
   gu04    all  4.136883
   gu05    all  293.0513
   gu06    all  287.6549
   gu07    all  216.9343
   gu08    all   86.5282
   gu09    all  425.6168
